village,year,month,depth_meters
Kalegaon,2024,1,11.3
Navha,2024,1,8.3
Niklas,2024,1,7.1
Pokhari Shindhkhed,2024,1,6.2
Samangaon,2024,1,6.5
Utavad,2024,1,10.7
Yenora-Dhanora,2024,1,6.2
Dahiphal,2024,1,5.7
Dahiphal,2024,1,1.5
Daitha Kh,2024,1,21.5
Dhoksal,2024,1,10.0
Dhoksal,2024,1,3.7
Mantha,2024,1,3.0
Naygaon,2024,1,12.5
Partur,2024,1,12.5
Shreshti,2024,1,7.3
Talni,2024,1,4.0
Watur,2024,1,20.0
Ajara,2024,1,4.1
Authur,2024,1,1.9
Madlgi Budrukh,2024,1,3.1
Murgud,2024,1,0.9
Nitawade,2024,1,8.9
Pimpalgaon,2024,1,1.4
Kanura Khurd,2024,1,4.1
Karve,2024,1,7.3
Naganwadi,2024,1,3.9
Patne,2024,1,6.8
Shirgaon,2024,1,7.4
Surute,2024,1,7.5
Gadhinglaj,2024,1,2.3
Halkarne,2024,1,6.8
Nesari,2024,1,0.9
Aslaj,2024,1,7.5
Gagan Bauda,2024,1,8.0
Kirve,2024,1,1.1
Partangale,2024,1,1.0
Kini Wathar,2024,1,5.8
Pargaon (Old),2024,1,5.8
Shiradwad,2024,1,8.2
Kagal,2024,1,2.1
Surupali,2024,1,1.8
Cheye,2024,1,1.4
Gokul Shirgaon,2024,1,1.1
Khupire,2024,1,1.7
Washi,2024,1,1.8
Paijarwadi,2024,1,4.0
Panhala,2024,1,10.4
Undri,2024,1,4.0
Khindi Varvade,2024,1,3.5
Radhanagari,2024,1,6.1
Shelewadi,2024,1,2.2
Solankur,2024,1,3.6
Amba,2024,1,5.9
Shahuwadi,2024,1,4.2
Shelarwadi,2024,1,2.0
Wadicharan,2024,1,2.2
Shirol,2024,1,5.5
Ahemadpur,2024,1,5.8
Ashta,2024,1,6.8
Chapoli,2024,1,10.3
Kingaon,2024,1,4.9
Mahalangra,2024,1,6.0
Nalegaon,2024,1,7.2
Patoda,2024,1,4.4
Rudha,2024,1,8.2
Shirur Tajbandh,2024,1,30.0
Ausa,2024,1,4.9
Belkund,2024,1,6.7
Bhada,2024,1,3.9
Budhoda,2024,1,8.4
Chakur,2024,1,6.1
Hasalgan,2024,1,5.3
Lamjana Phata,2024,1,17.5
Matola,2024,1,6.7
Samdarga,2024,1,3.5
Borgaon Kale,2024,1,9.1
Latur,2024,1,6.5
Latur,2024,1,7.3
Murud,2024,1,4.6
Murud-Akola,2024,1,12.5
Ansarwada,2024,1,13.9
Kasar Belkunda,2024,1,8.9
Kasar Sirsi,2024,1,8.0
Panchincholi,2024,1,5.7
Panderwadi,2024,1,3.5
Rapka,2024,1,7.7
Saithpur,2024,1,4.2
Ujed,2024,1,8.2
Pangaon,2024,1,4.5
Rajwadi,2024,1,12.6
Renapur,2024,1,8.5
Belsangvi,2024,1,4.4
Deoni,2024,1,1.7
Digol,2024,1,5.3
Jalkot,2024,1,12.9
Mogha,2024,1,2.4
Udgir,2024,1,1.1
Walandi,2024,1,14.4
Bombay (Church Gate),2024,1,1.7
Colaba (Dandi),2024,1,3.8
Colaba (Dandi),2024,1,1.7
Mahim,2024,1,4.2
Mazgaon,2024,1,12.1
Varli,2024,1,1.2
A.M.C. Colony,2024,1,6.1
Agarwadi,2024,1,5.2
Amboli,2024,1,2.3
Chembur,2024,1,3.2
Dahisar,2024,1,9.3
Film City-Habale Pada,2024,1,3.9
Gorai,2024,1,3.4
Goregaon,2024,1,1.4
Khardanda,2024,1,0.9
Laxminagar-Mahul,2024,1,0.7
Madh,2024,1,0.3
Malvani,2024,1,3.3
Manori,2024,1,3.0
Mulund,2024,1,3.5
